chave,lat,lon,metodo,extra
CITY_CENTER PAULISTA PE BRAZIL,-7.9340069,-34.868407,CityCenter,"PAULISTA, PE, Brazil"
BRASILAPI 40280902,,,BrasilAPI,"Salvador,BA"
BRASILAPI 86701000,,,BrasilAPI_None,
CITY_CENTER ARAPONGAS PR BRAZIL,-23.4152862,-51.4293961,CityCenter,"ARAPONGAS, PR, Brazil"
BRASILAPI 17052005,,,BrasilAPI,"Bauru,SP"
CITY_CENTER BAURU SP BRAZIL,-22.3218102,-49.0705863,CityCenter,"BAURU, SP, Brazil"
BRASILAPI 35680095,,,BrasilAPI,"Itaúna,MG"
CITY_CENTER ITAÚNA MG BRAZIL,-20.075556,-44.576389,CityCenter,"ITAÚNA, MG, Brazil"
BRASILAPI 50731005,,,BrasilAPI,"Recife,PE"
BRASILAPI 40157151,,,BrasilAPI,"Salvador,BA"
CITY_CENTER CAXIAS MA BRAZIL,-4.8654201,-43.353664,CityCenter,"CAXIAS, MA, Brazil"
BRASILAPI 41181900,,,BrasilAPI,"Salvador,BA"
BRASILAPI 57057000,,,BrasilAPI,"Maceió,AL"
BRASILAPI 99500000,,,BrasilAPI,"Carazinho,RS"
CITY_CENTER CARAZINHO RS BRAZIL,-28.2981634,-52.7942363,CityCenter,"CARAZINHO, RS, Brazil"
CITY_CENTER OLINDA PE BRAZIL,-7.9986401,-34.8459552,CityCenter,"OLINDA, PE, Brazil"
CITY_CENTER BALSAS MA BRAZIL,-7.53214,-46.037163,CityCenter,"BALSAS, MA, Brazil"
BRASILAPI 44052064,,,BrasilAPI,"Feira de Santana,BA"
CITY_CENTER FEIRA DE SANTANA BA BRAZIL,-12.2578934,-38.9598047,CityCenter,"FEIRA DE SANTANA, BA, Brazil"
BRASILAPI 44520000,,,BrasilAPI,"Rafael Jambeiro,BA"
CITY_CENTER RAFAEL JAMBEIRO BA BRAZIL,-12.3988144,-39.5020289,CityCenter,"RAFAEL JAMBEIRO, BA, Brazil"
BRASILAPI 34710138,,,BrasilAPI,"Sabará,MG"
CITY_CENTER SABARÁ MG BRAZIL,-19.8900372,-43.8107916,CityCenter,"SABARÁ, MG, Brazil"
BRASILAPI 35680352,,,BrasilAPI,"Itaúna,MG"
BRASILAPI 58111400,,,BrasilAPI,"Bayeux,PB"
CITY_CENTER BAYEUX PB BRAZIL,-7.1301631,-34.936532,CityCenter,"BAYEUX, PB, Brazil"
BRASILAPI 41730101,,,BrasilAPI,"Salvador,BA"
BRASILAPI 42701450,,,BrasilAPI,"Lauro de Freitas,BA"
CITY_CENTER LAURO DE FREITAS BA BRAZIL,-12.89242,-38.3127691,CityCenter,"LAURO DE FREITAS, BA, Brazil"
BRASILAPI 17512751,,,BrasilAPI,"Marília,SP"
CITY_CENTER MARÍLIA SP BRAZIL,-22.2172002,-49.9500061,CityCenter,"MARÍLIA, SP, Brazil"
BRASILAPI 13414040,,,BrasilAPI,"Piracicaba,SP"
CITY_CENTER PIRACICABA SP BRAZIL,-22.725165,-47.6493269,CityCenter,"PIRACICABA, SP, Brazil"
CITY_CENTER VITÓRIA DA CONQUISTA BA BRAZIL,-14.8567487,-40.8414804,CityCenter,"VITÓRIA DA CONQUISTA, BA, Brazil"
BRASILAPI 68385000,,,BrasilAPI,"Tucumã,PA"
CITY_CENTER TUCUMÃ PA BRAZIL,-6.7517239,-51.1507941,CityCenter,"TUCUMÃ, PA, Brazil"
BRASILAPI 79033180,,,BrasilAPI,"Campo Grande,MS"
CITY_CENTER CAMPO GRANDE MS BRAZIL,-20.4640173,-54.6162947,CityCenter,"CAMPO GRANDE, MS, Brazil"
BRASILAPI 55016400,,,BrasilAPI,"Caruaru,PE"
